"newspaper_edition_date","headline"
NA,"Los Angeles schools to require Covid vaccinations for students 12 and older"
NA,"NBA players who refuse Covid-19 vaccine could lose millions in salary"
NA,"At what age should children in Australia be vaccinated against Covid?"
NA,"Victoria Covid update: vaccine mandate takes effect as state records 2,170 cases"
NA,"Covid news: UK reports 51,342 new infections; vaccines protect against new variant – as it happened "
2021-08-26,"Does Covid immunity wane and will vaccine booster jabs be needed?"
NA,"How a vaccine-hesitant sheriff became a vocal proponent"
NA,"NSW Covid update: more vouchers and expanded outdoor dining as vaccination rate surges"
NA,"Victoria Covid vaccination rate by postcode: check the percentages in your suburb – interactive map"
NA,"French police investigate rising number of fake Covid vaccine certificates"
2021-06-16,"The Covid Delta variant: how effective are the vaccines?"
NA,"NSW Covid vaccination verification app update still being tested despite Monday reopening"
NA,"Australian ‘digital seal’ to prove Covid vaccine status for travel ‘ready in weeks’"
NA,"Moderna considers including Australian children in Covid-19 vaccine trial"
NA,"Pfizer and Moderna Covid vaccines now available to all Australians over 60"
2021-08-12,"UK orders extra Covid vaccines for autumn 2022 booster campaign"
NA,"Pregnant women in the UK: have you changed your mind about Covid vaccination?"
2021-11-30,"South African scientists explore vaccines’ effectiveness against Omicron"
NA,"Full FDA approval of Pfizer Covid shot will enable vaccine requirements"
2021-11-28,"Omicron’s full impact will be felt in countries where fewer are vaccinated"
NA,"WHO warns of ‘chaos’ if individuals mix Covid vaccines"
NA,"Liberal MP Gerard Rennick’s Facebook reposts on Covid vaccines could be dangerous, health expert says"
NA,"Royal Melbourne hospital down 51 staff who won’t comply with Covid vaccine mandate"
NA,"Booster shots may be needed to keep fully vaccinated status in Australia in future"
NA,"Where can I get vaccinated? Resources to help you find a Covid vaccine appointment in Australia"
2021-09-04,"Italy could soon make Covid-19 vaccines mandatory, says PM"
NA,"‘The fear of this vaccine is real’: how Papua New Guinea’s Covid strategy went so wrong"
NA,"Covid booster shots: who is eligible and how will it affect your vaccination status in Australia?"
NA,"Aboriginal health service asks Kimberley churches to counter Covid vaccine misinformation"
2021-06-29,"Mixing Covid vaccines offers strong immune protection – study"
NA,"Colorado radio host who urged boycott of vaccines dies of Covid-19"
2021-07-21,"Covid vaccine certificates to be compulsory for crowded venues in England"
NA,"Australian government’s Covid vaccine rollout forecasts don’t add up"
2021-09-30,"YouTube to remove misinformation videos about all vaccines"
NA,"‘Stuffed’: how Australia’s ‘unconscionable’ gamble on Covid vaccines backfired"
NA,"I took the Covid vaccine while pregnant – let’s not pretend it’s an easy decision"
NA,"NSW is easing more Covid restrictions for fully vaccinated people. What are the new freedoms?"
NA,"Covid vaccine status proof will not be required for students in England  "
NA,"Liberal MP Andrew Laming confronts Atagi on ‘farrago’ of Australian vaccine mandates"
2021-08-03,"Hopes UK trial will allay pregnant women’s Covid vaccine concerns"
NA,"Covid vaccines: Australian GPs and some health departments in the dark over booster shots"
NA,"It’s scandalous so few pregnant women in the UK are vaccinated against Covid"
